dataset,c_rev_star_mean,c_rev_star_std,c_rev_star_median,c_rev_star_q25,c_rev_star_q75,n_samples,c_rev_star_ci_lo,c_rev_star_ci_hi
diabetes130us,0.85136723450336,0.02623295420199039,0.8492273625991913,0.8356310901466888,0.8608754001401148,210,0.8478191526932987,0.8549153163134214
uci_default,0.8152249082606366,0.027185739856490556,0.8172030124091747,0.7994214345186922,0.8324384910997749,210,0.8115479594757165,0.8189018570455568
bank_marketing,0.7964554561596703,0.08071627123542643,0.8058346591205467,0.7435590394524675,0.8478927973199331,210,0.785538350463482,0.8073725618558586
pc1,0.7270552164620012,0.28352387569104726,0.6937568756875687,0.5185185185185184,0.9141093474426807,210,0.6887078043363329,0.7654026285876695
oil_spill,0.6950461781975144,1.193567785034959,0.4444444444444444,0.25153374233128833,0.9166666666666667,205,0.5316558935774051,0.8584364628176236
credit_g,0.6400551614253175,0.24551781408785395,0.6920442571127501,0.581305599162742,0.7669172932330827,210,0.6068481774347363,0.6732621454158987
adult,0.5931146115669083,0.1441897486016403,0.6136240577086136,0.4952157787419438,0.7172377405159494,210,0.5736125371809443,0.6126166859528722
ozone_level_8hr,0.5911923160690449,0.32618525035857615,0.5282193958664547,0.3522284775979358,0.7869797525309337,210,0.5470748314504132,0.6353098006876765
seismic_bumps,0.49755650094581966,0.09900671499987247,0.4810031962057944,0.4292625045637093,0.5469617170687506,210,0.4841655606094726,0.5109474412821667
sick_numeric,0.4567320402523961,2.705417654078147,0.45946387708401437,0.165334302325581,0.8587920951804799,204,0.08547447917402207,0.8279896013307702
aps_failure,0.1655769969408824,0.2612275916528598,0.16418507897018847,0.0999435347261434,0.24269187901906422,204,0.12972940112985248,0.20142459275191232
wilt,0.16092887473562836,3.9803323640589316,0.36058118899733804,0.07652447735606457,0.5739287245773094,204,-0.38528197871034875,0.7071397281816054
mammography,-0.3014208302868374,1.65384115557139,-0.0027491408934707954,-0.0691340782122905,0.04304635761589404,209,-0.5256420565429972,-0.0771996040306776
fraud,-0.8574464846960008,2.890806724781138,-0.09684301851367365,-0.5099614899007785,-0.019000241081390194,196,-1.2621594261653601,-0.4527335432266415
miniboone,-2.902364856220522,11.02556782235859,0.13597518732964067,-0.345201064156349,0.42004534851565833,204,-4.415375393821905,-1.3893543186191388
